timestep,normal_mean_error,attack_mean_error
1,0.8510659,4.548569
2,0.6366608,3.5265927
3,0.95183283,4.062396
4,0.9416621,5.0131273
5,0.8915229,6.3055153
6,0.7837963,4.442663
7,0.92714345,5.71684
8,1.0073947,4.7258167
9,0.8325712,5.243329
10,0.8798077,3.1440635
11,0.8304422,4.574581
12,0.94414866,5.2143707
13,1.1756526,4.672729
14,0.7735309,3.5549686
15,0.76450956,3.5698059
16,0.81666,4.216889
17,0.9843121,3.307605
18,0.8671216,5.0842056
19,0.9889953,3.649889
20,1.1040634,5.5042205
21,0.92220706,5.137527
22,1.0936054,5.2017775
23,0.99963814,4.9565086
24,0.878761,4.1922445
25,1.0248334,3.5331793
26,0.831656,5.4079347
27,0.9750107,3.541563
28,0.8282785,3.4941812
29,0.90348953,5.9697137
30,0.6099617,3.874827
31,1.0192474,4.3621025
32,0.99605787,3.8759289
33,1.0583372,4.992019
34,0.9575146,4.6888156
35,0.7569986,3.4265456
36,1.1613091,4.869405
37,0.6449504,3.2167776
38,0.7720637,3.5344684
39,0.9975823,4.57064
40,0.8707562,4.4126773
41,1.004666,5.373733
42,1.0365713,3.4782522
43,1.0465146,4.7134414
44,0.8225734,3.0712287
45,0.6710143,2.840862
46,1.4214566,6.3732967
47,0.7846726,4.0874267
48,0.89525217,5.153015
49,1.0468894,6.1227064
50,1.0253364,5.7368126
