accuracy,f1,auc,latency_ms_per_sample,n_params,representation,n_features,model
0.99,0.99,0.9998125,0.0002450309693813324,609,MEAN,1,mlp
0.99125,0.9912390488110138,0.9997812500000001,9.741983376443386e-05,641,MEAN+RATIO_proxy,2,mlp
0.77,0.7526881720430108,0.85209375,0.00010440126061439514,737,E1-E5,5,mlp
0.77625,0.7702182284980744,0.8528562500000001,0.0019519613124430182,12961,E1-E5,5,lstm
0.85875,0.8567807351077313,0.9340937500000001,9.912997484207153e-05,897,E1-E10,10,mlp
0.86875,0.8672566371681416,0.9368687499999999,0.0028304685838520527,12961,E1-E10,10,lstm
0.935,0.9338422391857506,0.9828187500000001,0.00010969582945108414,1217,E1-E20,20,mlp
0.94375,0.9432534678436317,0.9859875,0.00898534432053566,12961,E1-E20,20,lstm
0.9575,0.9577114427860697,0.9898250000000001,0.00020843464881181717,1537,E1-E30,30,mlp
0.96375,0.9637046307884856,0.9937437499999999,0.0062343094032257795,12961,E1-E30,30,lstm
0.97875,0.9787234042553191,0.9965187499999999,0.00010415678843855858,1857,E1-E40,40,mlp
0.9825,0.9824120603015075,0.9974812500000001,0.018627479439601302,12961,E1-E40,40,lstm
0.98875,0.9887359198998749,0.99933125,0.00010173884220421314,2177,E1-E50,50,mlp
0.9925,0.9925,0.99975625,0.02166102989576757,12961,E1-E50,50,lstm
