rho_E,config,seed,train_auc,test_auc,train_test_gap
0.1,baseline,42,0.7293980468750001,0.10551875,0.6238792968750001
0.1,baseline,43,0.745394921875,0.10475937500000002,0.640635546875
0.1,baseline,44,0.758987109375,0.10899374999999999,0.649993359375
0.1,baseline,45,0.754497265625,0.09509999999999999,0.659397265625
0.1,baseline,46,0.7529697265625,0.1075375,0.6454322265625001
0.1,dropout_0.3,42,0.6585394531250001,0.17859375000000002,0.47994570312500007
0.1,dropout_0.3,43,0.6535462890625,0.19490624999999998,0.45864003906250006
0.1,dropout_0.3,44,0.6532386718750001,0.1843875,0.46885117187500003
0.1,dropout_0.3,45,0.6635167968749999,0.162425,0.5010917968749998
0.1,dropout_0.3,46,0.6558697265625,0.17933749999999998,0.4765322265625
0.1,dropout_0.5,42,0.59211484375,0.31434375000000003,0.27777109375
0.1,dropout_0.5,43,0.595915234375,0.31608125,0.27983398437500007
0.1,dropout_0.5,44,0.5856408203125,0.320209375,0.26543144531249996
0.1,dropout_0.5,45,0.5948587890625,0.30143125000000004,0.29342753906249996
0.1,dropout_0.5,46,0.6007130859375,0.30023750000000005,0.3004755859374999
0.1,smaller,42,0.7454517578125,0.13255,0.6129017578125
0.1,smaller,43,0.7264419921875,0.1528875,0.5735544921875
0.1,smaller,44,0.7351781249999999,0.13754375,0.5976343749999999
0.1,smaller,45,0.727039453125,0.14845,0.578589453125
0.1,smaller,46,0.7362433593750001,0.135825,0.6004183593750001
0.1,weight_decay,42,0.5784720703125,0.364884375,0.21358769531250005
0.1,weight_decay,43,0.5786603515625,0.361975,0.21668535156249996
0.1,weight_decay,44,0.5850580078125001,0.3320875,0.2529705078125001
0.1,weight_decay,45,0.59228828125,0.32925,0.26303828125
0.1,weight_decay,46,0.5820539062500001,0.35572499999999996,0.22632890625000013
0.1,smaller_dropout,42,0.631283203125,0.24544062500000002,0.38584257812499995
0.1,smaller_dropout,43,0.626743359375,0.249871875,0.37687148437500007
0.1,smaller_dropout,44,0.6188630859375001,0.25106874999999995,0.3677943359375001
0.1,smaller_dropout,45,0.624185546875,0.25497812500000006,0.369207421875
0.1,smaller_dropout,46,0.6224298828125,0.26068125,0.3617486328125
0.5,baseline,42,0.9989984375000001,0.41407187500000003,0.5849265625
0.5,baseline,43,0.99886171875,0.40436250000000007,0.5944992187499999
0.5,baseline,44,0.994586328125,0.414434375,0.580151953125
0.5,baseline,45,0.9986875,0.4149875,0.5836999999999999
0.5,baseline,46,0.998833984375,0.42019062500000004,0.578643359375
0.5,dropout_0.3,42,0.8974304687500001,0.48310625,0.4143242187500001
0.5,dropout_0.3,43,0.8786869140625001,0.47618125,0.4025056640625001
0.5,dropout_0.3,44,0.8896312500000001,0.47701874999999994,0.41261250000000016
0.5,dropout_0.3,45,0.88921953125,0.46847500000000003,0.42074453124999994
0.5,dropout_0.3,46,0.8811609375,0.47894375,0.4022171875
0.5,dropout_0.5,42,0.8024136718750001,0.5376125,0.2648011718750001
0.5,dropout_0.5,43,0.7988015625,0.5326500000000001,0.26615156249999994
0.5,dropout_0.5,44,0.8018140625,0.5274375,0.2743765625
0.5,dropout_0.5,45,0.7932951171875,0.5372062500000001,0.2560888671874999
0.5,dropout_0.5,46,0.78452890625,0.5394625,0.2450664062500001
0.5,smaller,42,0.9065375,0.42286875,0.48366875
0.5,smaller,43,0.909475390625,0.43456875000000006,0.474906640625
0.5,smaller,44,0.9055484375,0.43930625,0.4662421875
0.5,smaller,45,0.899751171875,0.44301875,0.45673242187499996
0.5,smaller,46,0.9246859375,0.42669375000000004,0.4979921875
0.5,weight_decay,42,0.9371281249999999,0.465228125,0.4718999999999999
0.5,weight_decay,43,0.9416013671875001,0.44832500000000003,0.49327636718750006
0.5,weight_decay,44,0.961467578125,0.445784375,0.515683203125
0.5,weight_decay,45,0.965852734375,0.4555625,0.510290234375
0.5,weight_decay,46,0.9632296874999999,0.44662812500000004,0.5166015624999999
0.5,smaller_dropout,42,0.7888921875,0.547903125,0.24098906249999996
0.5,smaller_dropout,43,0.7884978515625,0.551709375,0.23678847656250002
0.5,smaller_dropout,44,0.79125625,0.5506,0.24065625000000002
0.5,smaller_dropout,45,0.7850412109375001,0.5660375,0.21900371093750015
0.5,smaller_dropout,46,0.7896902343750001,0.54625,0.24344023437500006
