,,train_auc,train_auc,test_auc,test_auc,train_test_gap,train_test_gap
,,mean,std,mean,std,mean,std
rho_E,config,,,,,,
0.1,baseline,0.7482494140625,0.011620426738670376,0.104381875,0.0054501273996004,0.6438675390625,0.013144598965220654
0.1,dropout_0.3,0.6569421875,0.004247795679983335,0.17993,0.011754988468996886,0.4770121875,0.015754376204068273
0.1,dropout_0.5,0.5938485546875001,0.005540446392005496,0.31046062500000005,0.00905193500549744,0.2833879296875,0.013778574462398135
0.1,smaller,0.7340709375,0.007796007488540698,0.14145125,0.008745367523723634,0.5926196875,0.016260826384435167
0.1,smaller_dropout,0.624701015625,0.004663730684729594,0.252408125,0.005740689047682985,0.37229289062500004,0.009293761840279125
0.1,weight_decay,0.5833065234375001,0.005706740988658859,0.348784375,0.01689491273051966,0.23452214843750005,0.022231979568603157
0.5,baseline,0.9979935937500001,0.0019079159640313472,0.41360937500000006,0.005736098599957769,0.58438421875,0.0062037298402875495
0.5,dropout_0.3,0.8872258203125,0.007476488956930771,0.47674500000000003,0.005340544360128479,0.41048082031250005,0.008008593455154494
0.5,dropout_0.5,0.7961706640625,0.007442177333532508,0.53487375,0.004853885363809084,0.2612969140625,0.011152104886753483
0.5,smaller,0.9091996874999999,0.009348706697174239,0.43329125,0.008434927385579558,0.47590843749999995,0.015890830889633036
0.5,smaller_dropout,0.7886755468750001,0.0022900068686102877,0.5525,0.007869128825769841,0.23617554687500003,0.00989027236613572
0.5,weight_decay,0.9538558984375,0.013413813793047399,0.452305625,0.008188472449406355,0.5015502734374999,0.019041166985876178
