rho_E,model,accuracy,precision,recall,f1,auc
0.1,tc_svm,0.5220108695652174,0.5268745852687459,0.4315217391304348,0.47445473558410517,0.5265531944116257
0.1,random_forest,0.519375,0.5193697364846509,0.5195108695652174,0.5194402934383915,0.5255738096644613
0.1,xgboost,0.5164402173913043,0.5171767645221736,0.495,0.5058454361167422,0.5230985526937618
0.5,tc_svm,0.5922826086956522,0.6072917983065841,0.5223369565217392,0.5616198211885701,0.6219835834120984
0.5,random_forest,0.5939673913043478,0.5953562761967792,0.5866847826086956,0.5909887222161393,0.6257069780836484
0.5,xgboost,0.594483695652174,0.5956218029811341,0.5885326086956522,0.5920559853475849,0.6262312928284499
1.0,tc_svm,0.6706521739130434,0.6906728200145738,0.6181521739130434,0.6524033497762992,0.7244448930765596
1.0,random_forest,0.6734239130434783,0.6774947157637112,0.6619565217391304,0.669635493979878,0.7282791706049149
1.0,xgboost,0.6740489130434782,0.6790206272010733,0.6601630434782608,0.6694590647303591,0.728588561850189
2.0,tc_svm,0.793179347826087,0.8179781903919835,0.7541847826086957,0.784787219001838,0.8608854117438562
2.0,random_forest,0.7937228260869565,0.8098022355975925,0.7677717391304347,0.7882270888547914,0.8648015669305292
2.0,xgboost,0.7947554347826087,0.8085917496443812,0.7723369565217392,0.7900486448922863,0.8652985630316634
5.0,tc_svm,0.9404076086956522,0.9547163458840694,0.9246739130434782,0.9394550122856906,0.9780773777173913
5.0,random_forest,0.9423641304347826,0.949621609677954,0.9342934782608696,0.9418951866969838,0.9808439995864838
5.0,xgboost,0.9412228260869565,0.9482139899519682,0.9334239130434783,0.9407608249116753,0.9807586882679583
10.0,tc_svm,0.984375,0.9893482677208587,0.9792934782608695,0.9842951956955179,0.9968067713256142
10.0,random_forest,0.9842119565217391,0.9876840549564837,0.9806521739130435,0.9841555537374894,0.9971678757088847
10.0,xgboost,0.9845380434782609,0.9872656719680822,0.9817391304347826,0.984494645338856,0.9972419039461248
20.0,tc_svm,0.9964402173913044,0.997657314083356,0.9952173913043478,0.9964358590667937,0.9996884614248583
20.0,random_forest,0.9964673913043478,0.9976032247521517,0.9953260869565217,0.9964633549159366,0.9996729324196597
20.0,xgboost,0.9965489130434783,0.9974410627756302,0.9956521739130435,0.9965458155411102,0.9997059620155955
0.1,mlp,0.19375,0.1489971346704871,0.13,0.13885180240320427,0.10551875
0.1,lstm,0.515,0.5150753768844221,0.5125,0.5137844611528822,0.49356875
0.1,autoencoder,0.4925,0.40625,0.0325,0.06018518518518518,0.46641249999999995
0.5,mlp,0.435,0.43596059113300495,0.4425,0.4392059553349876,0.43757187499999994
0.5,lstm,0.6075,0.592274678111588,0.69,0.6374133949191686,0.64795
0.5,autoencoder,0.51875,0.6363636363636364,0.0875,0.15384615384615385,0.60025
1.0,mlp,0.65125,0.6579634464751958,0.63,0.6436781609195402,0.67616875
1.0,lstm,0.71625,0.7054631828978623,0.7425,0.7235079171741778,0.79735625
1.0,autoencoder,0.5625,0.7976190476190477,0.1675,0.2768595041322314,0.7191500000000001
2.0,mlp,0.83125,0.823960880195599,0.8425,0.8331273176761433,0.899359375
2.0,lstm,0.8675,0.8602941176470589,0.8775,0.8688118811881188,0.9482812500000001
2.0,autoencoder,0.6975,0.9438202247191011,0.42,0.5813148788927336,0.8877812500000001
5.0,mlp,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9997625000000001
5.0,lstm,0.9975,1.0,0.995,0.9974937343358395,0.9998875
5.0,autoencoder,0.975,0.9679802955665024,0.9825,0.9751861042183623,0.99775
10.0,mlp,1.0,1.0,1.0,1.0,1.0
10.0,lstm,1.0,1.0,1.0,1.0,1.0
10.0,autoencoder,0.98125,0.963855421686747,1.0,0.9815950920245399,1.0
20.0,mlp,1.0,1.0,1.0,1.0,1.0
20.0,lstm,1.0,1.0,1.0,1.0,1.0
20.0,autoencoder,0.985,0.970873786407767,1.0,0.9852216748768473,1.0
